algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1269,1282,6857,1284,6681,83186,0.9196860048565865,0.08031399514341353,0.9762629893471015,0.948184251740932,0.0006531349525984817,44628.846434300714,2.131252734431967,2.7638468162531153,1.0,1843,3730,8,0,0,36143200,6857,42
ACTAR,ACTAR,764,900,4157,1064,7050,81352,0.9133395614121349,0.0866604385878651,0.9676455546284084,0.9394495383970014,0.0006725234268988949,71495.79023334135,2.641568438777965,3.6573372214880546,1.659093967860892,1054,5458,4,0,0,34373000,4157,42
TFSM_DPC,TFSM_DPC,649,1054,5519,1062,6694,76345,0.9123190778701945,0.0876809221298055,0.9696199623838854,0.9429259974960615,0.0007171698664725136,50480.884218155465,2.3745243703569487,3.0720320542157924,1.8306987695797619,1304,4697,6,0,0,33135200,5519,42
DST_WOA,DST_WOA,666,1293,5972,1896,7365,83847,0.9121614369029304,0.08783856309706961,0.9768834497005832,0.9508477445481993,0.0006533464803783294,51227.05961152043,1.945914266577361,4.758260772493862,1.2549488768599149,1036,3851,9,0,0,35864400,5972,42
TRAIL,TRAIL,716,931,10134,1195,3930,76837,0.9488527662454286,0.05114723375457142,0.9950073381156816,0.9840129098212717,0.0006853385625562352,28777.18571146635,1.9552989934872707,1.9295563708005632,1.2556818961142278,2688,767,10,0,0,34614000,10134,42
SHEER,SHEER,1306,1317,7312,1322,6177,83096,0.9256642919033408,0.07433570809665924,0.9730105695601867,0.9520649672802065,0.0006496452979535221,42078.227571115975,2.0903993435448576,2.637953103834532,1.0,1992,3600,8,0,0,35973600,7312,43
ACTAR,ACTAR,817,936,5087,1005,6382,81920,0.9220947265625,0.07790527343749998,0.9681352431888586,0.9496131039886154,0.0006615434566298055,59396.894043640656,2.346569687438569,3.179788590502174,1.6406312054859806,1308,4967,6,0,0,35026600,5087,43
TFSM_DPC,TFSM_DPC,621,1077,6162,1430,5861,75971,0.9228521409485199,0.07714785905148014,0.981029810298103,0.9535544564108932,0.0007127148870205054,45511.1976630964,2.2392080493346316,2.9851024040926086,1.8219084296106118,1421,3979,8,0,0,32780800,6162,43
DST_WOA,DST_WOA,732,1404,6189,1413,6666,83891,0.9205397480063415,0.07946025199365847,0.9770022661055358,0.9578248719950009,0.0006471142895769274,49911.13265470997,1.939893359185652,4.616082296547634,1.2245775331822597,1109,3285,10,0,0,35775000,6189,43
TRAIL,TRAIL,555,951,11417,1269,3256,76354,0.9573565235613065,0.042643476438693484,0.996785137760267,0.9899994481143468,0.000683603146551718,25610.230358237717,1.8738722956993956,1.7670979129622564,1.2524145667460123,2951,376,10,0,0,34512800,11417,43
SHEER,SHEER,1264,1275,6686,1277,6634,83371,0.9204279665591153,0.0795720334408847,0.9775075908622959,0.9439375743577554,0.0006511883708618435,45909.06371522584,2.153305414298534,2.8104245901172313,1.0,1767,4178,6,0,0,35475400,6686,44
ACTAR,ACTAR,783,955,3582,985,6450,80557,0.9199324701763968,0.08006752982360321,0.9669127073016044,0.9448008544223404,0.0006743782868860131,82754.88553880513,2.9092685650474595,3.878661918297598,1.6617458539679113,869,5133,5,0,0,34212200,3582,44
